side,movie_title,emo_types,n_nrc_categories,nrc_entropy
ai,When Ocean Meets Sky,4,1,-0.0
human,Where the Lilies Bloom,3,3,1.584962500721156
ai,Where the Lilies Bloom,3,2,1.0
human,Where the Sidewalk Ends,1,0,0.0
ai,Where the Sidewalk Ends,4,4,2.0
human,Whole New Thing,2,0,0.0
ai,Whole New Thing,5,1,-0.0
human,Wind River,2,4,2.0
ai,Wind River,6,2,0.8112781244591328
human,Witchcraft,3,4,1.9219280948873625
ai,Witchcraft,5,4,2.0
human,Xanadu,4,4,1.9502120649147463
ai,Xanadu,2,3,1.584962500721156
human,Xue fu rong,2,5,2.281036112553424
ai,Xue fu rong,3,3,1.584962500721156
human,Zatoichi and the Chess Expert,1,3,1.584962500721156
ai,Zatoichi and the Chess Expert,3,1,-0.0
human,Zelary,1,0,0.0
ai,Zelary,4,1,-0.0
